DateTime,AddedIPs,RemovedIPs
1514489567,2,0
1514491501,1,2
1514495351,1,1
1514497231,1,0
1514501080,1,1
1514503094,0,1
1514505176,1,1
1514507087,0,2
1514510927,1,0
1514512901,1,2
1514514792,0,1
1514520526,1,1
1514522713,1,0
1514524618,0,1
1514526534,0,1
1514528437,2,0
1514530376,1,0
1514532302,1,3
1514534230,3,0
1514536121,0,1
1514538084,1,1
1514539925,0,1
1514541942,1,1
1514543809,1,0
1514547631,1,2
1514549720,2,2
1514551730,0,1
1514557800,0,2
1514562092,2,0
1514563996,0,1
1514565912,1,0
1514567821,3,0
1514569989,1,0
1514575733,0,2
1514577705,4,0
1514579812,0,1
1514581767,1,1
1514583632,0,1
1514587729,0,1
1514589998,2,0
1514592140,2,1
1514596127,0,1
1514600133,1,1
1514602020,1,0
1514607769,0,2
1514611667,1,0
1514613495,0,1
1514615552,1,1
1514617409,0,1
1514619467,0,4
1514621313,2,0
1514623297,3,0
1514625417,1,1
1514629257,0,2
1514633082,1,0
1514635025,1,2
1514636867,2,0
1514638904,3,0
1514642921,2,0
1514646771,2,1
1514649369,0,1
1514651571,1,2
1514653472,2,2
1514655403,1,1
1514657320,0,1
1514663518,1,0
1514665472,0,4
1514667543,3,1
1514673991,1,0
1514675815,0,2
1514677863,1,1
1514679883,0,1
1514683968,1,0
1514685887,1,1
1514688129,1,1
1514691891,1,0
1514694051,1,0
1514695989,1,0
1514697880,0,1
1514701754,3,1
1514703895,1,0
1514707732,1,2
1514709638,3,3
1514711574,4,1
1514713496,2,0
1514715422,1,0
1514719253,0,1
1514721396,1,1
1514723574,1,2
1514725475,0,3
1514729354,0,2
1514731253,2,0
1514733179,0,2
1514737006,2,0
1514738919,1,3
1514740839,1,0
1514742759,0,1
1514744680,1,0
1514750560,0,1
1514754532,1,3
1514756673,4,0
1514760994,0,1
1514763357,2,1
1514771200,1,1
1514773241,1,1
1514775524,0,1
1514779510,1,2
1514781420,1,1
1514787417,0,1
1514789318,1,2
1514791269,0,1
1514795354,1,3
1514797289,0,5
1514799165,4,2
1514801102,0,1
1514803243,1,0
1514809217,0,2
1514813073,2,0
1514817206,1,2
1514821283,1,0
1514823146,1,2
1514827016,3,2
1514828933,1,0
1514831088,1,1
1514833007,1,0
1514834933,1,0
1514836890,2,0
1514838752,1,0
1514840680,0,1
1514843913,4,4
1514845977,1,0
1514850007,1,2
1514851992,1,0
1514855835,0,1
1514857953,1,0
1514859883,1,1
1514861800,1,0
1514865887,1,1
1514867791,0,1
1514871885,1,0
1514873795,2,0
1514875732,0,1
1514881725,1,1
1514885811,1,4
1514887969,4,1
1514894188,2,0
1514900443,0,2
1514902617,1,1
1514906462,0,1
1514908384,2,0
1514910299,0,1
1514912580,0,3
1514917016,1,1
1514919185,0,1
1514921073,1,2
1514923292,0,2
1514925276,0,1
1514927344,1,0
1514929474,0,1
1514931417,0,4
1514933339,3,0
1514937169,3,1
1514939085,0,1
1514941013,1,0
1514942931,0,1
1514947019,1,1
1514948931,0,1
1514952755,0,1
1514954694,1,0
1514958548,0,2
1514960443,0,1
1514968123,0,1
1514971977,0,1
1514973881,0,1
1514975811,0,3
1514979642,0,1
1514981677,0,1
1514989482,0,1
1514993318,0,2
1515002958,0,1
1515006771,0,1
1515014688,0,1
1515018546,0,1
1515133550,5,8
1515160890,0,2
1515164703,1,0
1515188257,0,1
1515190134,0,1
1515230110,1,0
1515243731,1,0
1515251427,0,2
1515257504,1,0
1515286327,1,0
1515308142,1,0
1515317764,0,1
1515319599,1,0
1515331126,1,1
1515344517,0,1
1515358378,1,0
1515362313,1,0
1515372773,0,1
1515394612,0,1
1515406251,0,1
1515417707,0,1
1515445318,0,1
1515447420,1,1
1515452519,1,0
1515470496,1,0
1515533134,0,1
1515538933,0,1
1515543195,1,0
1515554683,1,0
1515556933,0,1
1515629282,0,1
1515639394,0,1
1515678503,1,0
1515680416,1,0
1515696510,1,0
1515700348,1,0
1515714920,2,0
1515732992,1,0
1515738983,1,0
1515744779,1,0
1515750543,1,0
1515754366,1,0
1515766132,0,1
1515768037,1,1
1515781736,0,1
1515787722,0,1
1515793487,1,0
1515800951,0,2
1515817024,1,0
1515818912,1,1
1515824930,0,1
1515830800,0,1
1515836687,0,1
1515840754,0,1
1515846544,1,0
1515854216,0,1
1515877995,1,0
1515879899,0,1
1515881879,1,0
1515889523,1,0
1515902996,0,1
1515914714,0,1
1515932110,0,1
1515936281,1,0
1515957423,1,0
1515964112,0,1
1515967899,0,1
1515976596,1,1
1515996090,1,0
1516023181,0,1
1516031320,1,0
1516033158,1,0
1516045011,0,1
1516063245,0,1
1516082494,0,1
1516116062,0,1
1516117978,0,1
1516126842,1,0
1516146264,1,0
1516164774,1,0
1516213485,0,1
1516233560,0,1
1516249041,0,1
1516302998,1,0
1516380764,1,0
1516385098,1,0
1516391026,1,1
1516405238,1,0
1516418732,1,0
1516424524,1,0
1516466694,0,1
1516470564,1,1
1516476302,0,1
1516491666,0,1
1516505096,0,1
1516508922,1,0
1516510907,0,1
1516537946,1,0
1516557387,0,1
1516594113,0,1
1516623046,1,0
1516624848,0,1
1516708351,0,1
1516711957,1,0
1516723706,1,0
